doc_id,travel_sponsor,sponsors_cleaned,sponsor
500013546,The Congressional Institute,Congressional Institute,Congressional Institute
500013547,The Congressional Institute,Congressional Institute,Congressional Institute
500013548,The Congressional Institute,Congressional Institute,Congressional Institute
500013549,German Marshall Fund of the United States and Robert Bosch Stiftung,German Marshall Fund Of The United States;Robert Bosch Stiftung,German Marshall Fund of the United States
500013549,German Marshall Fund of the United States and Robert Bosch Stiftung,German Marshall Fund Of The United States;Robert Bosch Stiftung,Robert Bosch Stiftung
500013550,German Marshall Fund of the United States and Robert Bosch Stiftung,German Marshall Fund Of The United States;Robert Bosch Stiftung,German Marshall Fund of the United States
500013550,German Marshall Fund of the United States and Robert Bosch Stiftung,German Marshall Fund Of The United States;Robert Bosch Stiftung,Robert Bosch Stiftung
500013551,The Congressional Institute,Congressional Institute,Congressional Institute
500013552,The Congressional Institute,Congressional Institute,Congressional Institute
500013553,Massachusetts Institute of Technology and the Frankel Foundation,Massachusetts Institute Of Technology;Raymond Frankel Foundation,Massachusetts Institute of Technology
500013553,Massachusetts Institute of Technology and the Frankel Foundation,Massachusetts Institute Of Technology;Raymond Frankel Foundation,Raymond Frankel Foundation
500013554,The Congressional Institute,Congressional Institute,Congressional Institute
500013555,The Congressional Institute,Congressional Institute,Congressional Institute
500013556,Massachusetts Institute of Technology and the Frankel Foundation,Massachusetts Institute Of Technology;Raymond Frankel Foundation,Massachusetts Institute of Technology
500013556,Massachusetts Institute of Technology and the Frankel Foundation,Massachusetts Institute Of Technology;Raymond Frankel Foundation,Raymond Frankel Foundation
500013557,The Congressional Institute,Congressional Institute,Congressional Institute
500013558,The Congressional Institute,Congressional Institute,Congressional Institute
500013559,National Association of Broadcasters,National Association of Broadcasters,National Association of Broadcasters
500013560,The Congressional Institute,Congressional Institute,Congressional Institute
500013563,The Congressional Institute,Congressional Institute,Congressional Institute
500013564,The Congressional Institute,Congressional Institute,Congressional Institute
500013565,The Congressional Institute,Congressional Institute,Congressional Institute
500013566,Information Management Network,Information Management Network,Information Management Network
500013567,The Congressional Institute,Congressional Institute,Congressional Institute
500013568,National Association of Broadcasters,National Association of Broadcasters,National Association of Broadcasters
500013569,The Congressional Institute,Congressional Institute,Congressional Institute
500013570,The Congressional Institute,Congressional Institute,Congressional Institute
500013571,The Congressional Institute,Congressional Institute,Congressional Institute
500013572,The Congressional Institute,Congressional Institute,Congressional Institute
500013573,Center for US Global Leadership,Center For US Global Leadership,Center for US Global Leadership
500013574,45th Street Baptist Church,45th Street Baptist Church,45th Street Baptist Church
500013575,The Congressional Institute,Congressional Institute,Congressional Institute
500013577,The Congressional Institute,Congressional Institute,Congressional Institute
500013578,Center Forward,Center Forward,Center Forward
500013579,Progressive Policy Institute,Progressive Policy Institute,Progressive Policy Institute
500013580,The Congressional Institute,Congressional Institute,Congressional Institute
500013581,The Congressional Institute,Congressional Institute,Congressional Institute
500013582,Massachusettes Institute of Technology and The Frankel Foundation,Massachusetts Institute Of Technology;The Frankel Foundation,Massachusetts Institute of Technology
500013582,Massachusettes Institute of Technology and The Frankel Foundation,Massachusetts Institute Of Technology;The Frankel Foundation,Raymond Frankel Foundation
500013583,The Congressional Institute,Congressional Institute,Congressional Institute
500013584,National Association of Broadcasters,National Association of Broadcasters,National Association of Broadcasters
500013585,National Association of Broadcasters,National Association of Broadcasters,National Association of Broadcasters
500013586,National Association of Broadcasters,National Association of Broadcasters,National Association of Broadcasters
500013587,The Heritage Foundation,Heritage Foundation,Heritage Foundation
500013588,The Congressional Institute,Congressional Institute,Congressional Institute
500013589,The Congressional Institute,Congressional Institute,Congressional Institute
500013590,The Congressional Institute,Congressional Institute,Congressional Institute
500013591,The Congressional Institute,Congressional Institute,Congressional Institute
500013592,The Congressional Institute,Congressional Institute,Congressional Institute
500013593,The Congressional Institute,Congressional Institute,Congressional Institute
500013594,The Congressional Institute,Congressional Institute,Congressional Institute
500013595,The Congressional Institute,Congressional Institute,Congressional Institute
500013596,The Congressional Institute,Congressional Institute,Congressional Institute
500013597,The Congressional Institute,Congressional Institute,Congressional Institute
